step,time_s,vortex_signal_pa,p_upstream_pa,p_downstream_pa,pressure_drop_pa,max_lattice_velocity
30000,0.08923237022526934,-6484.78559748471,5826.840832012216,2713.763769516098,3113.0770624961183,0.07557973346365532
30005,0.08924724228697355,-6623.588766270534,5851.510707245278,2772.668263281503,3078.842443963775,0.07558559797342644
30010,0.08926211434867776,-6754.452183472263,5875.142488515019,2826.2501395341683,3048.892348980851,0.0755914122675016
30015,0.08927698641038197,-6876.61021168518,5897.432136603633,2873.8932478799184,3023.5388887237145,0.07559705345055086
30020,0.08929185847208619,-6989.395864592622,5918.17415781423,2915.1669769557375,3003.0071808584926,0.07560241654417309
30025,0.0893067305337904,-7092.207433306192,5937.259616883044,2949.8408153285973,2987.418801554447,0.07560740441913356
30030,0.08932160259549461,-7184.47745345017,5954.666381713779,2977.8922697056414,2976.7741120081373,0.0756119135952585
30035,0.08933647465719882,-7265.65132626438,5970.443487643403,2999.5075635750422,2970.935924068361,0.07561581817788389
30040,0.08935134671890303,-7335.179915096025,5984.691942501293,3015.074629310136,2969.617313191157,0.07563056947807663
30045,0.08936621878060724,-7392.52620986637,5997.5444522251155,3025.168167196468,2972.3762850286475,0.07564622601469337
30050,0.08938109084231145,-7437.182327279793,6009.146443694397,3030.5269994913756,2978.6194442030214,0.0756614587705503
30055,0.08939596290401566,-7468.691163288304,6019.640444207677,3032.0245201101966,2987.6159240974807,0.07567600869725057
30060,0.08941083496571987,-7486.66752628897,6029.155406446064,3030.633584210995,2998.521822235069,0.07568955658064752
30065,0.08942570702742408,-7490.816035759555,6037.8019911312695,3027.387550538266,3010.4144405930033,0.07571140570090468
30070,0.0894405790891283,-7480.946178604562,6045.67415705943,3023.339311231348,3022.3348458280825,0.07573288018447923
30075,0.08945545115083252,-7456.987255897088,6052.856667168921,3019.5200576565753,3033.336609512346,0.07575155219703415
30080,0.08947032321253673,-7419.006567336846,6059.437328882897,3016.899359909056,3042.5379689738415,0.07578020415793388
30085,0.08948519527424094,-7367.232846408173,6065.5220301145,3016.3480140105535,3049.1740161039465,0.07581193603321235
30090,0.08950006733594515,-7302.084146229945,6071.250049012866,3018.6050934324653,3052.6449555804006,0.0758408896493847
30095,0.08951493939764936,-7224.196015869073,6076.806867217448,3024.2506772491347,3052.556189968313,0.07586688721389412
30100,0.08952981145935357,-7134.443006578287,6082.431923741231,3033.685680731537,3048.746243009694,0.07588982437020675
30105,0.08954468352105778,-7033.945304606505,6088.4194293820065,3047.1199494842417,3041.2994798977647,0.07590965275962287
30110,0.08955955558276199,-6924.053229529746,6095.111411756794,3064.5692434795656,3030.5421682772285,0.07592909622563658
30115,0.0895744276444662,-6806.305524421412,6102.883364363513,3085.861003935029,3017.0223604284834,0.07596250477723825
30120,0.08958929970617041,-6682.362221919607,6112.123972631004,3110.6480328623716,3001.4759397686325,0.07599289476312211
30125,0.08960417176787462,-6553.918303695117,6123.211165350982,3138.4286157856886,2984.7825495652933,0.07602010253313832
30130,0.08961904382957885,-6422.609046606164,6136.487069564436,3168.571321160994,2967.9157484034417,0.07604395799901154
30135,0.08963391589128306,-6289.920665135192,6152.234330821187,3200.342748469024,2951.8915823521625,0.0760642898038525
30140,0.08964878795298727,-6157.119888966996,6170.655800791248,3232.936794965594,2937.719005825654,0.07608093498388288
30145,0.08966366001469148,-6025.213413200718,6191.858948183452,3265.504421339976,2926.3545268434764,0.07609375079733476
30150,0.08967853207639569,-5894.943370513582,6215.845678777797,3297.1832610130105,2918.6624177647864,0.07612032694180662
30155,0.0896934041380999,-5766.819220872573,6242.507682662141,3327.126625968543,2915.3810566935977,0.07614316152678309
30160,0.08970827619980411,-5641.180967760914,6271.62703136412,3354.5314858469383,2917.0955455171816,0.0761618480123776
30165,0.08972314826150832,-5518.284351743938,6302.881534330761,3378.664889665463,2924.2166446652977,0.07617638438152347
30170,0.08973802032321253,-5398.396091512108,6335.85429432223,3398.8881599930387,2936.9661343291914,0.0761868173335993
30175,0.08975289238491674,-5281.886287921012,6370.046910780717,3414.678112116539,2955.3687986641776,0.07619323226042031
30180,0.08976776444662095,-5169.305472218557,6404.895808516595,3425.6445837051433,2979.2512248114517,0.07619574147153442
30185,0.08978263650832517,-5061.435224985056,6439.791182317123,3431.5436928375207,3008.247489479602,0.07619447242521726
30190,0.08979750857002938,-4959.3038298679885,6474.098045179138,3432.286422965969,3041.8116222131694,0.07620234311889769
30195,0.0898123806317336,-4864.162238308834,6507.178865693228,3427.9423086013785,3079.236557091849,0.07621146347390445
30200,0.0898272526934378,-4777.420748538856,6538.4172866314075,3418.738140591793,3119.6791460396144,0.07621730875616604
30205,0.08984212475514201,-4700.552796420923,6567.24241048559,3405.0517382849293,3162.1906722006606,0.07621998997379391
30210,0.08985699681684622,-4634.978054207951,6593.15307024825,3387.4009796061723,3205.7520906420773,0.07621961718155792
30215,0.08987186887855043,-4581.94119666378,6615.741328655338,3366.428455061124,3249.312873594214,0.07621630247904171
30220,0.08988674094025464,-4542.403945528666,6634.714161697672,3342.882292382066,3291.831869315606,0.07621016312532496
30225,0.08990161300195885,-4516.965805616145,6649.911945616225,3317.5938224582296,3332.3181231579956,0.0762013234865551
30230,0.08991648506366307,-4505.823754117377,6661.322104594004,3291.4527617861017,3369.869342807902,0.07619952077232514
30235,0.08993135712536728,-4508.774399475594,6669.086230480787,3265.3804578248287,3403.7057726559583,0.07620529984868823
30240,0.0899462291870715,-4525.255468980299,6673.499256086207,3240.301543691952,3433.1977123942556,0.07620901632943139
30245,0.08996110124877571,-4554.418286593448,6674.999862339509,3217.114200478739,3457.8856618607697,0.07621077221568653
30250,0.08997597331047992,-4595.21983129345,6674.152140675839,3196.6592576028243,3477.492883073015,0.07621065823477223
30255,0.08999084537218413,-4646.521973010563,6671.6194588736425,3179.6886415274885,3491.930817346154,0.07620874751767609
30260,0.09000571743388834,-4707.186095199261,6668.132314486566,3166.834177151743,3501.2981373348234,0.07620509079867986
30265,0.09002058949559255,-4776.152991270188,6664.452556282315,3158.578324611122,3505.874231671193,0.07620240839244313
30270,0.09003546155729676,-4852.500276277815,6661.336620295393,3155.228918357983,3506.10770193741,0.07621770472898705
30275,0.09005033361900097,-4935.472351279543,6659.500340329749,3156.9001997128767,3502.600140616872,0.07623142982818838
30280,0.09006520568070518,-5024.480999218395,6659.587494612573,3163.5022972538945,3496.0851973586787,0.07624348244411586
30285,0.09008007774240939,-5119.077721357985,6662.143636665638,3174.740798054957,3487.402838610681,0.07625374360997751
30290,0.0900949498041136,-5218.901636861522,6667.5960609937765,3190.12723653068,3477.4688244630966,0.07626208134092076
30295,0.09010982186581783,-5323.608919494962,6676.240111236017,3209.0003341781476,3467.239777057869,0.07626835689826864
