step,time_s,vortex_signal_pa,p_upstream_pa,p_downstream_pa,pressure_drop_pa,max_lattice_velocity
30000,0.08923237022526934,-6314.229865875638,7898.931438423308,4273.980231644206,3624.951206779102,0.07574662655195645
30005,0.08924724228697355,-6299.9234390400725,7925.650462181403,4302.958056920601,3622.692405260802,0.07576532044419423
30010,0.08926211434867776,-6278.281682190211,7952.020890724159,4332.969767666799,3619.0511230573593,0.07578553493374146
30015,0.08927698641038197,-6249.266687605675,7978.194154163124,4363.5845929862,3614.609561176924,0.07580701384340505
30020,0.08929185847208619,-6213.02880681443,8004.3393712464,4394.309446006751,3610.029925239649,0.0758294479874092
30025,0.0893067305337904,-6169.892294121803,8030.63211857953,4424.603966086728,3606.0281524928014,0.07585380201860052
30030,0.08932160259549461,-6120.330914820164,8057.241789246071,4453.898156357113,3603.3436328889575,0.0758855085223433
30035,0.08933647465719882,-6064.93719939437,8084.318428175495,4481.612085484709,3602.706342690786,0.07591752308047892
30040,0.08935134671890303,-6004.389252768559,8111.980029319392,4507.176941171796,3604.803088147596,0.07594949540062317
30045,0.08936621878060724,-5939.418765197189,8140.301301200413,4530.056594294906,3610.244706905507,0.07598103763747197
30050,0.08938109084231145,-5870.783187733194,8169.304843107319,4549.76877492634,3619.53606818098,0.07601173495598393
30055,0.08939596290401566,-5799.244050036663,8198.955521475988,4565.904974847173,3633.050546628814,0.07604115734316931
30060,0.08941083496571987,-5725.552276101296,8229.158602771597,4578.148257934514,3651.010344837083,0.07606887207671434
30065,0.08942570702742408,-5650.440278419791,8259.76190580664,4586.288252703186,3673.473653103453,0.07609445618739646
30070,0.0894405790891283,-5574.619746083107,8290.56191429974,4590.2326959708835,3700.3292183288568,0.07611750826451989
30075,0.08945545115083252,-5498.783490366099,8321.313475960698,4590.014983312339,3731.2984926483596,0.07613765903937181
30080,0.08947032321253673,-5423.609496649446,8351.742441170198,4585.79726877848,3765.9451723917173,0.07615839586464979
30085,0.08948519527424094,-5349.765407638649,8381.560386025974,4577.868764253363,3803.691621772611,0.07618553077241201
30090,0.08950006733594515,-5277.91194197004,8410.480432263652,4566.639038768658,3843.841393494994,0.07620996118128283
30095,0.08951493939764936,-5208.704140236959,8438.233120756004,4552.626319041897,3885.606801714107,0.07623149198433903
30100,0.08952981145935357,-5142.789753307212,8464.581310872669,4536.4410346023105,3928.1402762703583,0.07624996663240641
30105,0.08954468352105778,-5080.804502709759,8489.333158884236,4518.765108651701,3970.568050232535,0.07626526741263646
30110,0.08955955558276199,-5023.364334179046,8512.352369045495,4500.3277377980285,4012.0246312474665,0.07627731349631502
30115,0.0895744276444662,-4971.055148952962,8533.565103784234,4481.878603868123,4051.6864999161116,0.07628605701484167
30120,0.08958929970617041,-4924.4208217293535,8552.963173108461,4464.159604990162,4088.803568118299,0.0762914776640394
30125,0.08960417176787462,-4883.950567104746,8570.603381600455,4447.876278833682,4122.727102766773,0.07630593920792227
30130,0.08961904382957885,-4850.066844634107,8586.603174227075,4433.670122786744,4152.933051440331,0.07632355517840124
30135,0.08963391589128306,-4823.114940694559,8601.132969431508,4422.092999127894,4179.039970303615,0.07633867604112658
30140,0.08964878795298727,-4803.355102435511,8614.405780951533,4413.584750785131,4200.821030166401,0.0763512461646406
30145,0.08966366001469148,-4790.957646224256,8626.66489231412,4408.455045822235,4218.209846491885,0.07636121042431182
30150,0.08967853207639569,-4786.000900683308,8638.17044636781,4406.87031815335,4231.3001282144605,0.0763685163212195
30155,0.0896934041380999,-4788.471296253292,8649.18583679988,4408.846482264205,4240.339354535674,0.0763784272786581
30160,0.08970827619980411,-4798.264509849844,8659.964736582742,4414.247877628376,4245.716858954366,0.07639348137267618
30165,0.08972314826150832,-4815.186412957355,8670.739477112824,4422.792650640604,4247.94682647222,0.07640549382978526
30170,0.08973802032321253,-4838.952692659599,8681.711319512102,4434.06451289693,4247.646806615172,0.07641521329106869
30175,0.08975289238491674,-4869.186391137078,8693.04296143376,4447.530526611538,4245.5124348222225,0.07643031880738718
30180,0.08976776444662095,-4905.413165650962,8704.853424839459,4462.564263612272,4242.289161227187,0.07644295812033777
30185,0.08978263650832517,-4947.054711252616,8717.215292564495,4478.473372208504,4238.741920355991,0.07646407979326797
30190,0.08979750857002938,-4993.421418787974,8730.15411545569,4494.530286383492,4235.6238290721985,0.0764835369519686
30195,0.0898123806317336,-5043.705879739468,8743.64970088522,4510.00455786467,4233.645143020551,0.07650009962140711
30200,0.0898272526934378,-5096.979226484942,8757.638918079556,4524.1951268050325,4233.443791274523,0.0765138564056787
30205,0.08984212475514201,-5152.1924455581875,8772.019617307014,4536.460812418639,4235.558804888376,0.0765249154235351
30210,0.08985699681684622,-5208.1846640491085,8786.655262371361,4546.247425974264,4240.4078363970975,0.0765333975607838
30215,0.08987186887855043,-5263.6999523318955,8801.379922459433,4553.110180952112,4248.269741507321,0.07655863227796166
30220,0.08988674094025464,-5317.413424120366,8816.003359058921,4556.73046183703,4259.272897221891,0.07658397014874507
