step,time_s,vortex_signal_pa,p_upstream_pa,p_downstream_pa,pressure_drop_pa,max_lattice_velocity
30000,0.08923237022526934,-5738.735823039104,8227.241343329448,4356.2414766962565,3870.9998666331912,0.07426026366676174
30005,0.08924724228697355,-5645.114405217697,8241.99137266335,4374.940778593357,3867.0505940699923,0.0742660082932403
30010,0.08926211434867776,-5544.826975408979,8258.286214087922,4393.137432809743,3865.1487812781797,0.07426993376328742
30015,0.08927698641038197,-5437.620935285655,8276.518973583845,4410.235828804521,3866.283144779324,0.0742868305062691
30020,0.08929185847208619,-5323.389879582036,8296.986677514253,4425.651948978366,3871.334728535887,0.07430195755740959
30025,0.0893067305337904,-5202.227428970086,8319.875348111424,4438.833600305588,3881.0417478058353,0.07431420854510419
30030,0.08932160259549461,-5074.4629693826755,8345.249668105207,4449.280346156965,3895.9693219482424,0.07432359011923688
30035,0.08933647465719882,-4940.677652068701,8373.047840035188,4456.562608026927,3916.485232008261,0.07433014063220823
30040,0.08935134671890303,-4801.701300957816,8403.0820440993,4460.339299983414,3942.742744115885,0.07433392726722743
30045,0.08936621878060724,-4658.592533969797,8435.044627570513,4460.3732308224635,3974.671396748049,0.0743350427813862
30050,0.08938109084231145,-4512.605297068089,8468.519835415462,4456.543399234417,4011.976436181045,0.07433360186740279
30055,0.08939596290401566,-4365.145218515547,8503.000552283298,4448.85326874048,4054.1472835428176,0.074329737196182
30060,0.08941083496571987,-4217.718961556287,8537.909217734143,4437.434193202495,4100.475024531647,0.07432887451598684
30065,0.08942570702742408,-4071.879384306846,8572.621843360761,4422.54339888781,4150.078444472951,0.07433227844597423
30070,0.0894405790891283,-3929.1690412512085,8606.493929406857,4404.556302479083,4201.9376269277745,0.07433325168493313
30075,0.08945545115083252,-3791.064484466221,8638.887052348317,4383.9533969199365,4254.93365542838,0.07434271269930139
30080,0.08947032321253673,-3658.923907102363,8669.194953821063,4361.3023778733395,4307.892575947723,0.07435232746428345
30085,0.08948519527424094,-3533.9407897578662,8696.868073275296,4337.236521400374,4359.6315518749225,0.07436133522730093
30090,0.08950006733594515,-3417.1062143603494,8721.43560091018,4312.4305006697095,4409.00510024047,0.07436979531674544
30095,0.08951493939764936,-3309.1822859377553,8742.524264162379,4287.574843407918,4454.949420754461,0.07437774893726656
30100,0.08952981145935357,-3210.6885929774935,8759.873194383763,4263.350131927434,4496.523062456329,0.07438522018277002
30105,0.08954468352105778,-3121.9028376327296,8773.3443539415,4240.4019088247705,4532.94244511673,0.07439221659102997
30110,0.08955955558276199,-3042.8757161747308,8782.928144125008,4219.317137727612,4563.611006397396,0.07439872936589542
30115,0.0895744276444662,-2973.458905772365,8788.743965610145,4200.603004734983,4588.140960875162,0.07440473354207948
30120,0.08958929970617041,-2913.343738606345,8791.035668165607,4184.668812471037,4606.3668556945695,0.0744101883697448
30125,0.08960417176787462,-2862.1069885877478,8790.162006481434,4171.811667987023,4618.3503384944115,0.07442568297882042
30130,0.08961904382957885,-2819.259358120161,8786.582415017845,4162.206553805043,4624.375861212802,0.07444189435919693
30135,0.08963391589128306,-2784.2919156652847,8780.838623227637,4155.901181547202,4624.937441680435,0.07445819468027325
30140,0.08964878795298727,-2756.716006834795,8773.532841664894,4152.815779131236,4620.717062533658,0.07447443056243819
30145,0.08966366001469148,-2736.0930258542066,8765.30343872608,4152.747699716726,4612.555739009354,0.0744904248303737
30150,0.08967853207639569,-2722.0517402837245,8756.799171745062,4155.380511914962,4601.4186598301,0.0745059831148302
30155,0.0896934041380999,-2714.292365711437,8748.65311357047,4160.297069312008,4588.356044258462,0.07452090075437005
30160,0.08970827619980411,-2712.578025639218,8741.457416700167,4166.995971687969,4574.461445012197,0.07453496991842443
30165,0.08972314826150832,-2716.7154001436393,8735.739985551485,4174.910806333406,4560.829179218079,0.07454798675419898
30170,0.08973802032321253,-2726.527163421106,8731.943997837381,4183.431567959369,4548.512429878012,0.0745682780265994
30175,0.08975289238491674,-2741.8192358379483,8730.411046651792,4191.927669129799,4538.483377521993,0.07459378966357741
30180,0.08976776444662095,-2762.345995638234,8731.368482906895,4199.771944695815,4531.59653821108,0.07461825483177512
30185,0.08978263650832517,-2787.7764912752095,8734.921337815753,4206.3650090140845,4528.556328801668,0.0746414599684565
30190,0.08979750857002938,-2817.6644343980856,8741.049009458124,4211.159242772209,4529.889766685915,0.07466321814997376
30195,0.0898123806317336,-2851.42438287991,8749.606716391765,4213.681579064489,4535.925137327276,0.07468337030038005
30200,0.0898272526934378,-2888.3160797749556,8760.331560929933,4213.554147976057,4546.777412953877,0.07470178396825693
30205,0.08984212475514201,-2927.438435177247,8772.852905212887,4210.511753134963,4562.341152077924,0.07471835042485275
30210,0.08985699681684622,-2967.734155608109,8786.706638360532,4204.415121782047,4582.291516578485,0.07473589864753137
30215,0.08987186887855043,-3008.0055483991173,8801.35279426338,4195.258920478063,4606.093873785316,0.07476556944737074
30220,0.08988674094025464,-3046.9415259584903,8816.1958622266,4183.173686823699,4633.0221754029,0.07479362619879071
30225,0.08990161300195885,-3083.1552418864376,8830.607020677537,4168.42111111325,4662.185909564287,0.0748199818722237
30230,0.08991648506366307,-3115.23104513321,8843.947431485689,4151.382512160557,4692.564919325132,0.07484456687187156
30235,0.08993135712536728,-3141.7785329791727,8855.591678767667,4132.540864382432,4723.050814385235,0.07486732689714835
30240,0.0899462291870715,-3161.4905102416274,8864.95043975185,4112.4572924789745,4752.493147272876,0.07488822017955314
30245,0.08996110124877571,-3173.200808988278,8871.49154555914,4091.7434722181947,4779.748073340945,0.07490721414398954
30250,0.08997597331047992,-3175.937416551839,8874.758721505594,4071.0317659640705,4803.726955541523,0.07493545472446844
30255,0.08999084537218413,-3168.9663739840457,8874.387469267327,4050.9450992983802,4823.442369968947,0.07497053599497386
30260,0.09000571743388834,-3151.8224908266616,8870.117735033087,4032.0685104988734,4838.049224534214,0.07500407138149989
30265,0.09002058949559255,-3124.323982726981,8861.803163096494,4014.9239951990203,4846.879167897474,0.07503597074577179
30270,0.09003546155729676,-3086.5694945159203,8849.416834713142,3999.949798311169,4849.467036401973,0.07506613926227862
30275,0.09005033361900097,-3038.917433925927,8833.053425283435,3987.4847841227756,4845.568641160659,0.07509447712925767
30280,0.09006520568070518,-2981.9489743923414,8812.927689124446,3977.758055091705,4835.169634032742,0.07512088032786031
30285,0.09008007774240939,-2916.417413559165,8789.369131940832,3970.883667483927,4818.485464456904,0.07515910722811418
30290,0.0900949498041136,-2843.187746213665,8762.812702557985,3966.8601274670164,4795.952575090969,0.07520322042700262
30295,0.09010982186581783,-2763.1712568608823,8733.78537454096,3965.5743060823193,4768.2110684586405,0.07524517720800741
30300,0.09012469392752204,-2677.2605566229745,8702.88862843679,3966.8094117526325,4736.079216684158,0.07528479420017564
30305,0.09013956598922625,-2586.2706667258844,8670.777093250108,3970.256630663554,4700.520462586554,0.07532190391812738
30310,0.09015443805093046,-2490.8913966011596,8638.133935898193,3975.5299469367596,4662.603988961433,0.07535635603085553
30315,0.09016931011263467,-2391.6553435255046,8605.643945771953,3982.183492438208,4623.460453333746,0.07538801737196343
30320,0.09018418217433888,-2288.9243902701805,8573.965579138461,3989.730596802312,4584.234982336149,0.07543466652060478
30325,0.09019905423604309,-2182.8957149575967,8543.703439586976,3997.6635737780616,4546.039865808914,0.07548187393356354
30330,0.0902139262977473,-2073.6262505370546,8515.382732195572,4005.4732391398547,4509.909493055718,0.07552574773508611
30335,0.09022879835945151,-1961.072508610062,8489.427129090001,4012.667224933918,4476.759904156083,0.07556617639122801
30340,0.09024367042115572,-1845.141017717408,8466.141243846481,4018.7863177598997,4447.354926086582,0.07560307197750286
30345,0.09025854248285993,-1725.7435975010703,8445.698577013223,4023.4182671026465,4422.280309910577,0.07563636592682838
30350,0.09027341454456415,-1602.8514712874794,8428.135420057682,4026.2087426798366,4401.926677377845,0.0756773506619339
30355,0.09028828660626836,-1476.542819920899,8413.350840730482,4026.869337015262,4386.48150371522,0.07571573499018047
30360,0.09030315866797257,-1347.0396281848125,8401.11255457274,4025.1826938072063,4375.929860765533,0.07575063582237314
30365,0.09031803072967678,-1214.7312663356934,8391.068230239856,4021.0049844995915,4370.063245740264,0.07578433197979981
30370,0.090332902791381,-1080.1838353907378,8382.761577752484,4014.266046022067,4368.4955317304175,0.07582272997453411
