side_radius_mm,lagrange,newton,spline,qr_polynomial
2.130000000000000071e+01,8.285224857135164989e-02,8.285224857135162213e-02,7.261564531811962042e-02,5.143941023054399153e-02
2.135000000000000142e+01,8.194430069909383607e-02,8.194430069909382219e-02,7.157959806112741685e-02,4.973709669940884481e-02
2.139999999999999858e+01,8.102266943323389869e-02,8.102266943323388482e-02,7.054549765174085441e-02,4.806000973681712196e-02
2.144999999999999929e+01,8.008783525333088016e-02,8.008783525333085240e-02,6.951341619542669714e-02,4.640803447864350062e-02
2.150000000000000000e+01,7.914027518767625946e-02,7.914027518767625946e-02,6.848342579765186178e-02,4.478105606076709932e-02
2.155000000000000071e+01,7.818046281329381342e-02,7.818046281329381342e-02,6.745559856388323727e-02,4.317895961906170754e-02
2.160000000000000142e+01,7.720886825593950564e-02,7.720886825593950564e-02,6.643000659958771259e-02,4.160163028940377927e-02
2.164999999999999858e+01,7.622595819010168083e-02,7.622595819010166696e-02,6.540672201023220445e-02,4.004895320766976852e-02
2.169999999999999929e+01,7.523219583900073171e-02,7.523219583900073171e-02,6.438581690128343527e-02,3.852081350973524110e-02
2.175000000000000000e+01,7.422804097458952921e-02,7.422804097458954309e-02,6.336736337820837728e-02,3.701709633147753920e-02
2.180000000000000071e+01,7.321394991755321435e-02,7.321394991755320047e-02,6.235143354647390557e-02,3.553768680877045227e-02
2.185000000000000142e+01,7.219037553730907331e-02,7.219037553730904555e-02,6.133809951154687440e-02,3.408247007749221069e-02
2.189999999999999858e+01,7.115776725200680108e-02,7.115776725200680108e-02,6.032743337889424212e-02,3.265133127351838027e-02
2.194999999999999929e+01,7.011657102852818235e-02,7.011657102852819623e-02,5.931950725398274504e-02,3.124415553272452684e-02
2.200000000000000000e+01,6.906722938248746613e-02,6.906722938248746613e-02,5.831439324227929988e-02,2.986082799098710439e-02
2.205000000000000071e+01,6.801018137823110210e-02,6.801018137823108822e-02,5.731216344925080253e-02,2.850123378418256692e-02
2.210000000000000142e+01,6.694586262883774064e-02,6.694586262883774064e-02,5.631288998036412807e-02,2.716525804818470391e-02
2.214999999999999858e+01,6.587470529611849646e-02,6.587470529611849646e-02,5.531664494108622099e-02,2.585278591887174571e-02
2.219999999999999929e+01,6.479713809061646290e-02,6.479713809061647678e-02,5.432350043688380370e-02,2.456370253212192267e-02
2.225000000000000000e+01,6.371358627160728094e-02,6.371358627160725319e-02,5.333352857322382068e-02,2.329789302380724791e-02
2.230000000000000071e+01,6.262447164709863956e-02,6.262447164709866732e-02,5.234680145557315395e-02,2.205524252980417543e-02
2.235000000000000142e+01,6.153021257383075454e-02,6.153021257383074760e-02,5.136339118939867165e-02,2.083563618599182377e-02
2.239999999999999858e+01,6.043122395727594520e-02,6.043122395727595214e-02,5.038336988016732521e-02,1.963895912824220602e-02
2.244999999999999929e+01,5.932791725163873153e-02,5.932791725163871766e-02,4.940680963334583009e-02,1.846509649243532891e-02
2.250000000000000000e+01,5.822070045985604236e-02,5.822070045985603542e-02,4.843378255440115160e-02,1.731393341444498191e-02
2.255000000000000071e+01,5.710997813359704883e-02,5.710997813359704189e-02,4.746436074880015094e-02,1.618535503014761900e-02
2.260000000000000142e+01,5.599615137326319214e-02,5.599615137326319214e-02,4.649861632200969624e-02,1.507924647541969421e-02
2.264999999999999858e+01,5.487961782798824600e-02,5.487961782798823906e-02,4.553662137949674588e-02,1.399549288613588516e-02
2.269999999999999929e+01,5.376077169563803909e-02,5.376077169563801827e-02,4.457844802672802920e-02,1.293397939817531039e-02
2.275000000000000000e+01,5.264000372281086443e-02,5.264000372281086443e-02,4.362416836917048374e-02,1.189459114741175938e-02
2.280000000000000071e+01,5.151770120483728510e-02,5.151770120483728510e-02,4.267385451229098459e-02,1.087721326972168612e-02
2.285000000000000142e+01,5.039424798578008569e-02,5.039424798578007875e-02,4.172757856155641376e-02,9.881730900980656429e-03
2.289999999999999858e+01,4.927002445843438327e-02,4.927002445843437634e-02,4.078541262243369492e-02,8.908029177066900672e-03
2.294999999999999929e+01,4.814540756432737073e-02,4.814540756432736379e-02,3.984742880038958518e-02,7.955993233852431956e-03
2.300000000000000000e+01,4.702077079371873997e-02,4.702077079371873303e-02,3.891369920089102902e-02,7.025508207216368817e-03
2.305000000000000071e+01,4.589648418560035581e-02,4.589648418560034887e-02,3.798429592940487376e-02,6.116459233035165255e-03
2.310000000000000142e+01,4.477291432769637397e-02,4.477291432769637397e-02,3.705929109139801531e-02,5.228731447183498915e-03
2.314999999999999858e+01,4.365042435646331043e-02,4.365042435646331043e-02,3.613875679233738425e-02,4.362209985537823798e-03
2.319999999999999929e+01,4.252937395708968754e-02,4.252937395708967366e-02,3.522276513768971690e-02,3.516779983975482082e-03
2.325000000000000000e+01,4.141011936349654060e-02,4.141011936349654060e-02,3.431138823292196466e-02,2.692326578370263235e-03
2.330000000000000071e+01,4.029301335833712638e-02,4.029301335833711945e-02,3.340469818350100262e-02,1.888734904599509434e-03
2.335000000000000142e+01,3.917840527299695785e-02,3.917840527299694398e-02,3.250276709489370586e-02,1.105890098539674682e-03
2.339999999999999858e+01,3.806664098759386661e-02,3.806664098759386661e-02,3.160566707256698415e-02,3.436772960663248000e-04
2.344999999999999929e+01,3.695806293097778777e-02,3.695806293097778084e-02,3.071347022198762586e-02,-3.980183669458625673e-04
2.350000000000000000e+01,3.585301008073110696e-02,3.585301008073110696e-02,2.982624864862252687e-02,-1.119311754618657062e-03
2.355000000000000071e+01,3.475181796316842431e-02,3.475181796316841043e-02,2.894407445793858655e-02,-1.820317731077381040e-03
2.360000000000000142e+01,3.365481865333660311e-02,3.365481865333658229e-02,2.806701975540266958e-02,-2.501151160444692323e-03
2.364999999999999858e+01,3.256234077501487384e-02,3.256234077501485302e-02,2.719515664648172390e-02,-3.161926906844136909e-03
2.369999999999999929e+01,3.147470950071446644e-02,3.147470950071445950e-02,2.632855723664247888e-02,-3.802759834401925332e-03
2.375000000000000000e+01,3.039224655167918621e-02,3.039224655167917233e-02,2.546729363135188245e-02,-4.423764807240715413e-03
2.380000000000000071e+01,2.931527019788495239e-02,2.931527019788494892e-02,2.461143793607682012e-02,-5.025056689483164973e-03
2.385000000000000142e+01,2.824409525804002369e-02,2.824409525804001675e-02,2.376106225628413920e-02,-5.606750345256372725e-03
2.389999999999999858e+01,2.717903309958496008e-02,2.717903309958495661e-02,2.291623869744079459e-02,-6.168960638681220132e-03
2.394999999999999929e+01,2.612039163869239386e-02,2.612039163869238345e-02,2.207703936501351910e-02,-6.711802433882141372e-03
2.400000000000000000e+01,2.506847534026743554e-02,2.506847534026743207e-02,2.124353636446926069e-02,-7.235390594986235158e-03
2.405000000000000071e+01,2.402358521794740326e-02,2.402358521794739632e-02,2.041580180127489097e-02,-7.739839986111718417e-03
2.410000000000000142e+01,2.298601883410188174e-02,2.298601883410188174e-02,1.959390778089728502e-02,-8.225265471387466221e-03
2.414999999999999858e+01,2.195607029983281597e-02,2.195607029983280556e-02,1.877792640880337691e-02,-8.691781914936136388e-03
2.419999999999999929e+01,2.093403027497417815e-02,2.093403027497417468e-02,1.796792979045991334e-02,-9.139504180878610384e-03
2.425000000000000000e+01,1.992018596809245340e-02,1.992018596809244646e-02,1.716399003133384574e-02,-9.568547133341986921e-03
2.430000000000000071e+01,1.891482113648632057e-02,1.891482113648632057e-02,1.636617923689202142e-02,-9.979025636452476533e-03
2.435000000000000142e+01,1.791821608618671818e-02,1.791821608618671124e-02,1.557456951260132935e-02,-1.037105455432740797e-02
2.439999999999999858e+01,1.693064767195693807e-02,1.693064767195692766e-02,1.478923296392870186e-02,-1.074474875109654448e-02
2.444999999999999929e+01,1.595238929729234437e-02,1.595238929729234090e-02,1.401024169634089087e-02,-1.110022309087987935e-02
2.450000000000000000e+01,1.498371091442075344e-02,1.498371091442074476e-02,1.323766781530482869e-02,-1.143759243780539947e-02
2.455000000000000071e+01,1.402487902430220833e-02,1.402487902430220312e-02,1.247158342628739043e-02,-1.175697165599309812e-02
2.460000000000000142e+01,1.307615667662901347e-02,1.307615667662900827e-02,1.171206063475546677e-02,-1.205847560956740949e-02
2.464999999999999858e+01,1.213780346982581970e-02,1.213780346982580582e-02,1.095917154617594667e-02,-1.234221916265632046e-02
2.469999999999999929e+01,1.121007555104933801e-02,1.121007555104933107e-02,1.021298826601563757e-02,-1.260831717937804797e-02
2.475000000000000000e+01,1.029322561618876454e-02,1.029322561618875587e-02,9.473582899741433624e-03,-1.285688452385969072e-02
